Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|name      |parallax|spect_type |vmag |bv_color|ccdm_id   |survey_star|id_chart|hd_id |spect_type_source|class          |
|HIP 105312|   53.40|G5V        | 6.56|   0.737|21198-2621|S          |        |202940|3                |       STAR G5V|
|HIP 72509 |  221.80|M          |12.07|   1.524|14495-2606|           |        |      |S                |        STAR M0|
|HIP 72511 |  235.24|M          |11.72|   1.480|14495-2606|           |D       |      |S                |        STAR M0|
|HIP 33817 |   68.42|K1V        | 6.71|   0.882|          |S          |        | 52698|4                |       STAR K1V|
|HIP 10798 |   78.88|G8V        | 6.33|   0.724|          |S          |        | 14412|3                |       STAR G8V|
|HIP 114411|   63.73|           |11.27|   1.566|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 69965 |   56.23|F7Vw       | 5.87|   0.518|14190-2549|S          |        |125276|4                |       STAR F7V|
|HIP 29052 |   87.64|           |11.87|   1.600|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 38939 |   54.91|K3V        | 8.42|   1.043|          |           |        | 65486|4                |       STAR K3V|
|HIP 38594 |   51.16|M          | 9.75|   1.385|          |           |G       |      |S                |        STAR M0|
|HIP 102485|   68.16|F5V        | 4.13|   0.426|          |S          |        |197692|4                |       STAR F5V|
|HIP 111391|   63.98|           |11.25|   1.494|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 62472 |   50.31|K4/K5V     | 8.90|   1.149|12482-2448|           |        |111261|4                |       STAR K4V|
|HIP 62471 |   53.29|K0         | 9.90|   1.380|12482-2448|           |        |      |S                |        STAR K0|
|HIP 2941  |   64.38|K1V+...    | 5.57|   0.715|00373-2446|S          |        |  3443|4                |       STAR K1V|
|HIP 114242|   50.30|K4:V:      |10.20|   1.120|          |           |        |218422|4                |       STAR K4V|
|HIP 59199 |   67.71|F0IV/V     | 4.02|   0.334|          |S          |        |105452|4                |      STAR F0IV|
|HIP 80268 |   59.46|M2         |10.23|   1.458|          |           |G       |      |S                |        STAR M2|
|HIP 54532 |   93.56|M:         |10.44|   1.529|          |           |G       |      |S                |        STAR M0|
|HIP 67620 |   50.20|G5V        | 6.43|   0.703|          |S          |        |120690|4                |       STAR G5V|
|HIP 39757 |   51.99|F2mF5IIp   | 2.83|   0.458|08075-2418|S          |        | 67523|G                |      STAR F2II|
|HIP 72688 |   58.96|K3V        | 7.81|   1.036|          |S          |        |130992|4                |       STAR K3V|
|HIP 7235  |   51.27|K0V        | 6.97|   0.766|01332-2411|S          |        |  9540|4                |       STAR K0V|
|HIP 97944 |   70.34|K3/K4V     | 6.22|   1.017|19543-2356|S          |        |188088|4                |       STAR K3V|
|HIP 47592 |   67.19|G0V        | 4.93|   0.534|          |S          |        | 84117|4                |       STAR G0V|
|HIP 56466 |   56.35|           |11.16|   1.505|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 29568 |   59.90|G5V        | 6.37|   0.713|          |S          |        | 43162|4                |       STAR G5V|
|HIP 85561 |   55.03|K5V        | 9.61|   1.272|          |           |G       |158233|4                |       STAR K5V|
|HIP 92403 |  336.48|M3.5Ve     |10.37|   1.510|          |           |G       |      |K                |      STAR M3Ve|
|HIP 101997|   68.28|G8/K0V     | 6.36|   0.719|          |S          |        |196761|4                |       STAR G8V|
|HIP 17651 |   55.79|F3/F5V     | 4.22|   0.434|          |S          |        | 23754|4                |       STAR F3V|
|HIP 3850  |   53.09|G8/K0V     | 7.15|   0.769|          |S          |        |  4747|4                |       STAR G8V|
|HIP 4022  |   65.81|K5V        | 8.95|   1.290|00516-2255|           |        |  4967|4                |       STAR K5V|
|HIP 42430 |   50.20|G3/G5V     | 5.05|   0.720|08391-2240|S          |        | 73752|4                |       STAR G3V|
|HIP 113576|  122.80|K5/M0V     | 7.88|   1.379|          |S          |        |217357|4                |       STAR K5V|
|HIP 27072 |  111.49|F7V        | 3.59|   0.481|05445-2226|S          |        | 38393|4                |       STAR F7V|
|HIP 8768  |   90.17|K5/M0V     | 8.89|   1.424|          |           |        | 11507|4                |       STAR K5V|
|HIP 67487 |   70.49|K4/K5V     | 8.16|   1.257|          |           |        |120467|4                |       STAR K4V|
|HIP 7170  |   56.42|           |11.16|   1.492|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 80440 |   55.81|K5         |10.40|   1.444|          |           |G       |      |S                |        STAR K5|
|HIP 29295 |  173.19|M1/M2V     | 8.15|   1.487|          |           |        | 42581|4                |       STAR M1V|
|HIP 86736 |   57.00|F6/F7V     | 4.86|   0.469|          |S          |        |160915|4                |       STAR F6V|
|HIP 47103 |  111.41|K          |10.91|   1.572|          |           |G       |      |S                |        STAR K0|
|HIP 34361 |   58.04|M2V:       |11.11|   1.440|          |           |G       |      |S                |       STAR M2V|
|HIP 73184 |  169.32|K4V        | 5.72|   1.024|14574-2124|S          |        |131977|4                |       STAR K4V|
|HIP 73182 |  133.63|K5V        | 8.01|   1.519|14574-2124|           |        |131976|4                |       STAR K5V|
|HIP 23452 |  117.38|M0V        | 8.31|   1.430|05025-2115|           |        | 32450|4                |       STAR M0V|
|HIP 37217 |   92.15|M2         |11.68|   1.588|          |           |D       |      |S                |        STAR M2|
|HIP 84893 |   57.48|F2/F3V     | 4.39|   0.394|17210-2107|S          |        |156897|4                |       STAR F2V|
|HIP 91438 |   77.02|G5V        | 5.85|   0.673|          |S          |        |172051|4                |       STAR G5V|
|HIP 111802|  115.71|M0Vpe      | 9.06|   1.466|22388-2037|           |        |214479|4                |      STAR M0Ve|
|HIP 99385 |   63.82|K4Vp       | 8.91|   1.296|          |           |        |191391|4                |       STAR K4V|
|HIP 55454 |   76.00|K4/K5V     | 8.57|   1.340|11214-2027|           |        | 98712|4                |       STAR K4V|
|HIP 78843 |   53.93|K3/K4V     | 7.39|   1.043|          |S          |        |144253|4                |       STAR K3V|
|HIP 116003|   67.57|M2Ve       |11.09|   1.500|          |           |G       |      |S                |      STAR M2Ve|
|HIP 11565 |   52.90|K4V        | 8.78|   1.120|02290-1959|           |        | 15468|4                |       STAR K4V|
|HIP 59406 |   78.14|           |11.67|   1.558|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 105341|   61.04|K5V        | 9.09|   1.340|          |           |        |203040|4                |       STAR K5V|
|HIP 16134 |   79.26|K5V        | 8.39|   1.337|          |           |        | 21531|4                |       STAR K5V|
|HIP 114719|   51.44|K7V        |10.46|   1.449|          |           |        |      |X                |       STAR K7V|
|HIP 76901 |  121.86|M5         |11.83|   1.591|          |           |G       |      |S                |        STAR M5|
|HIP 54373 |   53.75|K5         |10.38|   1.430|          |           |G       |      |S                |        STAR K5|
|HIP 31592 |   50.41|K1III+...  | 3.95|   1.037|          |S          |        | 47205|4                |     STAR K1III|
|HIP 47619 |   61.35|           |11.94|   1.525|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 17420 |   71.17|K2V        | 7.10|   0.927|          |S          |        | 23356|4                |       STAR K2V|
|HIP 102235|   50.17|M1:        |10.80|   1.450|20429-1855|           |G       |      |S                |        STAR M1|
|HIP 90790 |   75.71|K1V        | 6.81|   0.861|          |S          |        |170657|4                |       STAR K1V|
|HIP 79431 |   67.13|           |11.34|   1.486|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 12843 |   71.56|F5/F6V     | 4.47|   0.481|          |S          |        | 17206|4                |       STAR F5V|
|HIP 64924 |  117.30|G5V        | 4.74|   0.709|13185-1818|S          |        |115617|4                |       STAR G5V|
|HIP 60559 |  112.52|M4         |11.28|   1.574|          |           |G       |      |S                |        STAR M4|
|HIP 23932 |  107.30|M5         |10.28|   1.520|          |           |G       |      |S                |        STAR M5|
|HIP 76779 |   63.56|K5V        | 8.92|   1.296|          |           |        |139763|4                |       STAR K5V|
|HIP 67164 |   87.73|M:         |11.81|   1.542|          |           |D       |      |S                |        STAR M0|
|HIP 22762 |   80.89|M3         |10.90|   1.547|          |           |G       |      |S                |        STAR M3|
|HIP 9724  |  105.94|M3         |10.19|   1.514|          |           |        |      |S                |        STAR M3|
|HIP 23512 |  107.86|K:         |11.71|   1.661|          |           |D       |      |S                |        STAR K0|
|HIP 5643  |  269.05|M5.5Ve     |12.10|   1.850|          |           |G       |      |K                |      STAR M5Ve|
|HIP 103039|  182.15|           |11.41|   1.653|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 104059|   52.26|M3         |11.45|   1.443|          |           |G       |      |S                |        STAR M3|
|HIP 22263 |   75.10|G3V        | 5.49|   0.632|          |S          |        | 30495|4                |       STAR G3V|
|HIP 116215|   71.70|K5/M0V     | 8.59|   1.290|23328-1650|           |        |221503|4                |       STAR K5V|
|HIP 32349 |  379.21|A0m...     |-1.44|   0.009|06451-1643|S          |        | 48915|4                |        STAR A0|
|HIP 14101 |   92.97|           |10.40|        |          |           |        |      |                 |   UNIDENTIFIED|
|HIP 61174 |   54.92|F2V        | 4.30|   0.388|          |S          |        |109085|4                |       STAR F2V|
|HIP 1242  |  191.86|M:         |11.49|   1.750|          |           |G       |      |S                |        STAR M0|
|HIP 107556|   84.58|A5mF2 (IV) | 2.85|   0.180|21470-1607|S          |        |207098|G                |      STAR A2IV|
|HIP 8102  |  274.17|G8V        | 3.49|   0.727|01441-1557|S          |        | 10700|4                |       STAR G8V|
|HIP 82283 |   55.09|           |10.89|   1.468|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 910   |   52.94|F5V        | 4.89|   0.487|          |S          |        |   693|4                |       STAR F5V|
|HIP 114110|  216.52|           |12.24|        |23067-1452|           |        |      |                 |   UNIDENTIFIED|
|HIP 55066 |   56.87|K7V        | 9.98|   1.401|          |           |        |      |X                |       STAR K7V|
|HIP 91430 |   78.52|M1V:       |11.28|   1.556|18387-1429|           |G       |      |S                |       STAR M1V|
|HIP 10072 |   50.34|           |11.78|   1.517|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 113020|  212.69|M5         |10.16|   1.597|          |           |        |      |S                |        STAR M5|
|HIP 28103 |   66.47|F1V        | 3.71|   0.337|          |S          |        | 40136|4                |       STAR F1V|
|HIP 104239|   56.67|K1V        | 7.12|   0.901|21072-1355|S          |        |200968|4                |       STAR K1V|
|HIP 38382 |   59.98|G2V        | 5.16|   0.600|07518-1354|S          |        | 64096|4                |       STAR G2V|
|HIP 46706 |   94.95|M2         |10.06|   1.545|09313-1329|           |G       |      |S                |        STAR M2|
|HIP 91608 |   61.63|M          |10.63|   1.505|          |           |G       |      |S                |        STAR M0|
|HIP 104432|   82.33|M3         |10.87|   1.490|          |           |G       |      |S                |        STAR M3|
|HIP 15689 |  227.45|           |12.16|        |03221-1316|           |        |      |                 |   UNIDENTIFIED|
|HIP 13402 |   96.33|K1V        | 6.05|   0.862|          |S          |        | 17925|4                |       STAR K1V|
|HIP 80824 |  234.51|M4         |10.10|   1.604|          |           |G       |      |S                |        STAR M4|
|HIP 40693 |   79.48|K0V        | 5.95|   0.754|          |S          |        | 69830|4                |       STAR K0V|
|HIP 98204 |   52.92|K4V        | 9.29|   1.318|          |           |        |188807|4                |       STAR K4V|
|HIP 71253 |  163.51|M4         |11.32|   1.633|          |           |G       |      |S                |        STAR M4|
|HIP 106147|   55.38|K4/K5V     | 9.11|   1.261|          |           |        |204587|4                |       STAR K4V|
|HIP 48336 |   73.10|M0         |10.04|   1.446|          |           |        |      |S                |        STAR M0|
|HIP 70975 |   89.76|M4         |11.92|   1.591|          |           |D       |      |S                |        STAR M4|
|HIP 50341 |   72.79|M0         |10.99|   1.506|          |           |G       |      |S                |        STAR M0|
|HIP 96085 |   55.50|K2V        | 7.53|   0.922|          |S          |        |183870|X                |       STAR K2V|
|HIP 46816 |   54.52|K0         | 7.82|   0.933|          |S          |        | 82558|S                |        STAR K0|
|HIP 73457 |   51.26|K7V        | 9.49|   1.372|          |           |        |132683|X                |       STAR K7V|
|HIP 21556 |   90.23|M1         |10.34|   1.505|          |           |G       |      |S                |        STAR M1|
|HIP 77349 |   64.16|K:...      |11.27|   1.565|          |           |G       |      |S                |        STAR K0|
|HIP 8691  |   56.35|M4         |11.80|   1.475|          |           |D       |      |S                |        STAR M4|
|HIP 115445|   51.37|K2V        | 7.80|   0.881|          |S          |        |220339|X                |       STAR K2V|
|HIP 3909  |   64.69|F7IV-V     | 5.17|   0.514|          |S          |        |  4813|X                |      STAR F7IV|
|HIP 34104 |   64.96|M5         |10.95|   1.535|          |           |D       |      |S                |        STAR M5|
|HIP 103388|   67.71|M4         |11.38|   1.563|          |           |G       |      |S                |        STAR M4|
|HIP 58576 |   77.48|K0IV       | 5.54|   0.760|          |S          |        |104304|X                |      STAR K0IV|
|HIP 51007 |   80.07|M0         |10.15|   1.459|          |           |        |      |S                |        STAR M0|
|HIP 106255|  124.82|M4e...     |11.96|   1.703|          |           |G       |      |S                |       STAR M4e|
|HIP 17378 |  110.58|K0IV       | 3.52|   0.915|          |S          |        | 23249|X                |      STAR K0IV|
|HIP 16537 |  310.75|K2V        | 3.72|   0.881|03329-0927|S          |        | 22049|X                |       STAR K2V|
|HIP 75718 |   50.34|K2V        | 6.89|   0.788|15282-0921|S          |        |137763|X                |       STAR K2V|
|HIP 44722 |   68.86|M0         | 9.50|   1.418|          |           |        |      |S                |        STAR M0|
|HIP 70956 |   60.53|K7V        | 9.40|   1.403|14308-0839|           |        |127339|X                |       STAR K7V|
|HIP 65877 |   55.50|DA         |12.31|   0.026|          |           |G       |      |S                |WHITE DWARF D A|
|HIP 84277 |   52.76|M1V:       |12.00|   1.548|          |           |G       |      |S                |       STAR M1V|
|HIP 79672 |   71.30|G1V        | 5.49|   0.652|16156-0822|S          |        |146233|X                |       STAR G1V|
|HIP 66252 |   50.54|K7V        | 9.24|   1.210|          |           |        |118100|X                |       STAR K7V|
|HIP 82817 |  174.23|M3Ve       | 9.02|   1.553|16555-0820|           |        |152751|X                |      STAR M3Ve|
|HIP 82809 |  153.96|M4         |11.73|   1.700|16555-0820|           |G       |      |S                |        STAR M4|
|HIP 78353 |   71.84|M0         |10.49|   1.497|          |           |G       |      |S                |        STAR M0|
|HIP 56157 |   71.64|           |11.98|   1.548|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 84581 |  100.89|           |11.09|        |17174-0752|           |        |      |                 |   UNIDENTIFIED|
|HIP 74995 |  159.52|M5         |10.57|   1.600|          |           |G       |      |S                |        STAR M5|
|HIP 95071 |   89.08|DAw...     |12.28|   0.070|19206-0740|           |D       |      |S                |WHITE DWARF D A|
|HIP 19849 |  198.24|K1V        | 4.43|   0.820|04153-0739|S          |        | 26965|X                |       STAR K1V|
|HIP 46488 |   58.17|M5         |12.10|   1.512|09289-0722|           |D       |      |S                |        STAR M5|
|HIP 112774|   71.43|K5         | 9.86|   1.452|          |           |        |216133|S                |        STAR K5|
|HIP 69485 |   51.06|M0         |10.15|   1.418|          |           |        |      |S                |        STAR M0|
|HIP 52186 |   59.46|M          |11.28|   1.503|          |           |G       |      |S                |        STAR M0|
|HIP 105932|   61.57|M0         |11.09|   1.500|          |           |G       |      |S                |        STAR M0|
|HIP 18280 |   64.90|M0V        | 9.02|   1.366|          |           |        |      |X                |       STAR M0V|
|HIP 33955 |   53.47|K5V        | 8.38|   1.078|          |           |        | 52919|X                |       STAR K5V|
|HIP 103800|   72.37|M3         |11.23|   1.527|          |           |G       |      |S                |        STAR M3|
|HIP 117966|   57.97|           |11.14|   1.465|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 23311 |  113.46|K3V        | 6.22|   1.049|          |S          |        | 32147|X                |       STAR K3V|
|HIP 71957 |   53.54|F2III      | 3.87|   0.385|          |S          |        |129502|X                |     STAR F2III|
|HIP 43726 |   58.50|G3V        | 6.01|   0.661|          |S          |        | 76151|S                |       STAR G3V|
|HIP 15919 |   66.15|K5V        | 7.86|   1.153|          |S          |        | 21197|X                |       STAR K5V|
|HIP 32984 |  114.94|K3V        | 6.58|   1.071|06523-0511|S          |        | 50281|X                |       STAR K3V|
|HIP 83599 |   89.70|M0V        |10.08|   1.476|17051-0504|           |G       |      |X                |       STAR M0V|
|HIP 83591 |   92.98|K5V        | 7.70|   1.100|17051-0504|           |        |154363|X                |       STAR K5V|
|HIP 103393|   56.56|M4         |11.87|   1.490|          |           |D       |      |S                |        STAR M4|
|HIP 75201 |   52.95|K7V        | 9.46|   1.310|          |           |        |      |X                |       STAR K7V|
|HIP 109388|  113.97|M3         |10.41|   1.531|          |           |G       |      |S                |        STAR M3|
|HIP 66675 |   68.80|M0V        | 9.61|   1.376|          |           |        |118926|X                |       STAR M0V|
|HIP 27435 |   64.25|G4V        | 5.97|   0.639|          |S          |        | 38858|S                |       STAR G4V|
|HIP 113718|   59.04|K4V        | 7.48|   0.943|          |S          |        |217580|X                |       STAR K4V|
|HIP 49986 |  127.99|M3         | 9.26|   1.487|          |           |        |      |S                |        STAR M3|
|HIP 48477 |   63.81|M0         |10.53|   1.503|          |           |G       |      |S                |        STAR M0|
|HIP 25878 |  175.72|M1V        | 7.97|   1.474|05314-0341|           |        | 36395|X                |       STAR M1V|
|HIP 92200 |   70.80|K5         | 8.81|   1.295|          |           |        |173818|S                |        STAR K5|
|HIP 37349 |   70.44|K2V        | 7.18|   0.891|07400-0336|S          |        | 61606|X                |       STAR K2V|
|HIP 25623 |   77.03|K5V        | 7.65|   1.113|05284-0331|S          |        | 36003|X                |       STAR K5V|
|HIP 36338 |   79.65|           |11.47|   1.486|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 36985 |   69.85|           | 9.87|   1.455|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 24819 |   59.29|K3V        | 7.77|   1.051|05192-0305|           |        | 34673|X                |       STAR K3V|
|HIP 88574 |  128.28|M2V        | 9.37|   1.508|          |           |        |165222|X                |       STAR M2V|
|HIP 89962 |   52.81|K0III-IV   | 3.23|   0.941|18214-0253|S          |        |168723|X                |     STAR K0III|
|HIP 30920 |  242.89|M4.5Ve     |11.12|   1.690|06294-0249|           |G       |      |K                |      STAR M4Ve|
|HIP 46509 |   58.48|F6V        | 4.59|   0.411|09291-0246|S          |        | 81997|X                |       STAR F6V|
|HIP 68469 |   98.26|K5         | 9.71|   1.461|          |           |        |122303|S                |        STAR K5|
|HIP 113421|   50.71|G8IV       | 6.17|   0.744|          |S          |        |217107|S                |      STAR G8IV|
|HIP 85042 |   51.39|G5IV       | 6.28|   0.680|          |S          |        |157347|X                |      STAR G5IV|
|HIP 65714 |   70.62|M4+...     |11.23|   1.539|13284-0222|           |G       |      |S                |        STAR M4|
|HIP 81300 |  102.27|K2V        | 5.77|   0.827|16363-0220|S          |        |149661|X                |       STAR K2V|
|HIP 17695 |   61.45|           |11.59|   1.511|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 89825 |   51.81|K7V        | 9.66|   1.350|          |           |G       |168442|X                |       STAR K7V|
|HIP 84123 |   92.58|G          |11.45|   1.600|17119-0151|           |G       |      |S                |        STAR G0|
|HIP 90656 |   53.30|K3V        | 8.04|   1.074|          |           |        |170493|X                |       STAR K3V|
|HIP 61941 |   84.53|F0V+...    | 2.74|   0.368|12417-0127|S          |        |110379|X                |       STAR F0V|
|HIP 38625 |   52.01|G8V        | 7.43|   0.739|07546-0125|S          |        | 64606|X                |       STAR G8V|
|HIP 74537 |   57.80|K0V        | 6.58|   0.763|15138-0121|S          |        |135204|X                |       STAR K0V|
|HIP 18512 |   63.41|K4V        | 8.07|   1.115|03575-0110|           |        | 24916|X                |       STAR K4V|
|HIP 85667 |   60.80|G8IV-V     | 5.31|   0.715|17304-0104|S          |        |158614|X                |      STAR G8IV|
|HIP 99711 |   50.27|K0         | 7.79|   0.938|20140-0052|           |        |192263|S                |        STAR K0|
|HIP 111571|   57.04|K5         | 9.98|   1.411|          |           |        |214100|S                |        STAR K5|
|HIP 38931 |   57.26|K5V        | 8.05|   1.065|07580-0049|           |        | 65277|X                |       STAR K5V|
|HIP 62687 |   92.75|M0.5V      | 8.49|   1.409|          |           |        |111631|X                |       STAR M0V|
|HIP 18859 |   52.00|F5V        | 5.38|   0.516|          |S          |        | 25457|X                |       STAR F5V|
|HIP 82588 |   59.04|G8V        | 6.65|   0.749|          |S          |        |152391|X                |       STAR G8V|
|HIP 105152|   52.03|K2         | 8.15|   0.990|21181+0010|           |        |202751|S                |        STAR K2|
|HIP 116317|   71.56|M3         |11.16|   1.454|          |           |G       |      |S                |        STAR M3|
|HIP 16852 |   72.89|F9V        | 4.29|   0.575|          |S          |        | 22484|X                |       STAR F9V|
|HIP 7646  |   52.95|K:         |11.60|   1.496|          |           |G       |      |S                |        STAR K0|
|HIP 74702 |   64.19|K0         | 6.92|   0.830|          |S          |        |135599|S                |        STAR K0|
|HIP 57548 |  299.58|M4.5V      |11.12|   1.746|          |           |G       |      |K                |       STAR M4V|
|HIP 70319 |   56.82|G1V        | 6.25|   0.639|          |S          |        |126053|X                |       STAR G1V|
|HIP 40501 |  109.23|           |10.08|   1.510|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 108782|   96.98|M0         | 9.17|   1.453|          |           |        |209290|S                |        STAR M0|
|HIP 116384|   51.80|M0         | 9.59|   1.329|          |           |        |      |S                |        STAR M0|
|HIP 57757 |   91.74|F8V        | 3.59|   0.518|11507+0146|S          |        |102870|X                |       STAR F8V|
|HIP 26081 |   59.45|M2.5Ve     |11.53|   1.576|          |           |D       |      |K                |      STAR M2Ve|
|HIP 14445 |   67.69|M0V        | 9.07|   1.358|          |           |        | 19305|X                |       STAR M0V|
|HIP 85295 |  129.54|K7V        | 7.54|   1.359|          |S          |        |157881|X                |       STAR K7V|
|HIP 37288 |   67.27|M0         | 9.66|   1.379|          |           |G       |      |S                |        STAR M0|
|HIP 117473|  167.51|M2V        | 8.98|   1.460|          |           |        |      |X                |       STAR M2V|
|HIP 88601 |  196.62|K0V SB     | 4.03|   0.860|18055+0230|S          |        |165341|G                |       STAR B0V|
|HIP 77052 |   68.16|G5V        | 5.86|   0.684|15439+0230|S          |        |140538|X                |       STAR G5V|
|HIP 25119 |   50.24|K3V        | 7.76|   0.980|05226+0236|S          |        | 35112|X                |       STAR K3V|
|HIP 72312 |   50.84|G8V        | 7.76|   0.893|          |S          |        |130307|X                |       STAR G8V|
|HIP 65352 |   62.41|G5         | 7.06|   0.780|13237+0243|S          |        |116442|S                |        STAR G5|
|HIP 65355 |   59.56|G5         | 7.35|   0.869|13237+0243|S          |        |116443|S                |        STAR G5|
|HIP 17743 |   57.59|M0V:       |11.05|   1.495|          |           |G       |      |S                |       STAR M0V|
|HIP 94349 |   98.56|M4         |11.09|   1.542|19122+0253|           |G       |      |S                |        STAR M4|
|HIP 55848 |   55.59|K2V        | 7.58|   1.002|11268+0300|S          |        | 99492|X                |       STAR K2V|
|HIP 55846 |   56.59|K0IV       | 6.49|   0.778|11268+0300|S          |        | 99491|X                |      STAR K0IV|
|HIP 95501 |   65.05|F0IV       | 3.36|   0.319|19254+0307|S          |        |182640|X                |      STAR F0IV|
|HIP 74190 |   68.99|M:         |11.46|   1.511|          |           |G       |      |S                |        STAR M0|
|HIP 98698 |   76.26|K4V        | 7.46|   1.128|          |S          |        |190007|X                |       STAR K4V|
|HIP 114233|   63.85|M1V:       |10.90|   1.490|          |           |G       |      |S                |       STAR M1V|
|HIP 15457 |  109.18|G5Vvar     | 4.84|   0.681|03194+0321|S          |        | 20630|X                |       STAR G5V|
|HIP 37766 |  168.59|M4.5Ve     |11.19|   1.600|          |           |G       |      |K                |      STAR M4Ve|
|HIP 86400 |   93.36|K3V        | 6.53|   0.959|          |S          |        |160346|X                |       STAR K3V|
|HIP 10279 |   96.28|M3V:       |10.04|   1.431|          |           |        |      |S                |       STAR M3V|
|HIP 8051  |   88.86|M2V:       |10.93|   1.525|          |           |G       |      |S                |       STAR M2V|
|HIP 11452 |   60.22|K7V:       | 8.69|   1.397|02278+0426|           |        | 15285|S                |       STAR K7V|
|HIP 45383 |   54.25|K0         | 7.91|   1.035|          |           |        | 79555|S                |        STAR K0|
|HIP 54810 |   55.72|K5V        | 8.70|   1.179|          |           |        | 97503|X                |       STAR K5V|
|HIP 96285 |   69.09|K5         | 9.35|   1.390|          |           |        |184489|S                |        STAR K5|
|HIP 87937 |  549.01|sdM4       | 9.54|   1.570|17578+0441|           |        |      |X                |      STAR M4VI|
|HIP 101955|   53.82|K5V        | 7.88|   1.241|20396+0458|           |        |196795|X                |       STAR K5V|
|HIP 29860 |   51.76|G0.5Vb     | 5.70|   0.610|06172+0505|S          |        | 43587|X                |       STAR G0V|
|HIP 94761 |  170.26|M3.5V      | 9.12|   1.464|          |           |        |180617|X                |       STAR M3V|
|HIP 37279 |  285.93|F5IV-V     | 0.40|   0.432|07393+0514|S          |        | 61421|X                |      STAR F5IV|
|HIP 36208 |  263.26|M5         | 9.84|   1.573|          |           |G       |      |S                |        STAR M5|
|HIP 3765  |  134.04|K2V        | 5.74|   0.890|00483+0516|S          |        |  4628|X                |       STAR K2V|
|HIP 21000 |   84.76|F8+...     | 9.83|   0.600|04302+0518|           |        |      |S                |        STAR F8|
|HIP 3829  |  226.95|DG         |12.37|   0.554|          |           |G       |      |S                |    WHITE DWARF|
|HIP 6069  |   65.30|M2V:       |11.02|   1.478|          |           |G       |      |S                |       STAR M2V|
|HIP 85665 |  100.17|M1V...     | 9.33|   1.461|17304+0533|           |        |      |X                |       STAR M1V|
|HIP 116771|   72.51|F7V        | 4.13|   0.507|23399+0538|S          |        |222368|X                |       STAR F7V|
|HIP 73786 |   52.11|K5         | 9.83|   1.300|          |           |        |      |S                |        STAR K5|
|HIP 46580 |   78.87|K3V        | 7.20|   1.002|          |S          |        | 82106|X                |       STAR K3V|
|HIP 86707 |   50.80|M2         |10.68|   1.507|17430+0547|           |G       |      |S                |        STAR M2|
|HIP 14731 |   57.53|M4V:       |11.82|   1.500|          |           |G       |      |S                |       STAR M4V|
|HIP 93101 |   90.02|M2V        | 9.22|   1.444|          |           |        |176029|X                |       STAR M2V|
|HIP 98036 |   72.95|G8IVvar    | 3.71|   0.855|19553+0625|S          |        |188512|X                |      STAR G8IV|
|HIP 22627 |   82.52|M4         |11.94|   1.590|          |           |D       |      |S                |        STAR M4|
|HIP 53020 |  177.46|M4:        |11.64|   1.679|          |           |G       |      |S                |        STAR M4|
|HIP 12114 |  138.72|K3V        | 5.79|   0.918|02361+0653|S          |        | 16160|X                |       STAR K3V|
|HIP 22449 |  124.60|F6V        | 3.19|   0.484|04499+0657|S          |        | 30652|X                |       STAR F6V|
|HIP 55605 |   62.03|M0         |10.37|   1.240|          |           |        |      |S                |        STAR M0|
|HIP 104092|   67.38|K5         | 8.27|   1.119|21054+0704|           |        |200779|S                |        STAR K5|
|HIP 108380|   50.43|M1V:       |11.02|   1.439|          |           |G       |      |S                |       STAR M1V|
|HIP 80644 |   56.43|K5         | 8.83|   1.253|          |           |        |148467|S                |        STAR K5|
|HIP 77257 |   85.08|G0Vvar     | 4.42|   0.604|          |S          |        |141004|X                |       STAR G0V|
|HIP 53486 |   56.98|K0         | 7.37|   0.920|          |S          |        | 94765|S                |        STAR K0|
|HIP 118200|   58.62|M2V:       |11.78|   1.500|          |           |G       |      |S                |       STAR M2V|
|HIP 84521 |   66.92|M3.5       |11.49|   1.517|          |           |G       |      |S                |        STAR M3|
|HIP 92871 |   86.27|M2Ve       |10.10|   1.539|          |           |G       |      |K                |      STAR M2Ve|
|HIP 60910 |   73.77|M:         |11.99|   1.668|          |           |G       |      |S                |        STAR M0|
|HIP 109638|   71.97|M3         |11.99|   1.553|          |           |G       |      |S                |        STAR M3|
|HIP 66147 |   54.15|K0         | 7.98|   1.026|          |S          |        |117936|S                |        STAR K0|
|HIP 61094 |   74.58|M0:        | 9.74|   1.441|          |           |        |      |S                |        STAR M0|
